Date,Category,Product,Quantity,Price,Region,Customer_ID,Order_ID
2023-01-05,Smartphones,Samsung Galaxy S21,2,54990,Center,101,1001
2023-01-05,Accessories,iPhone Case,5,1200,South,102,1002
2023-01-06,Laptops,HP Pavilion,1,62500,West,103,1003
2023-01-07,Audio,Sony Headphones,3,4990,Center,104,1004
2023-01-08,Smartphones,iPhone 13,2,79990,North,105,1005
2023-01-10,TV,LG OLED 55",1,89990,Center,106,1006
2023-01-12,Accessories,USB-C Cable,8,590,East,107,1007
2023-01-15,Smartphones,Xiaomi Redmi Note 10,4,18990,South,108,1008
2023-01-18,Audio,JBL Bluetooth Speaker,2,3490,West,109,1009
2023-01-20,Laptops,MacBook Air,1,99990,Center,110,1010
2023-01-22,Accessories,Power Bank,3,1990,North,111,1011
2023-01-25,Smartphones,Google Pixel 6,1,52990,East,112,1012
2023-01-28,TV,Samsung 4K 50",1,45990,South,113,1013
2023-01-30,Audio,Apple AirPods,2,12990,Center,114,1014
2023-02-02,Laptops,Lenovo ThinkPad,1,78500,West,115,1015
2023-02-05,Smartphones,Samsung Galaxy S21,3,54990,North,116,1016
2023-02-07,Accessories,Screen Protector,10,490,Center,117,1017
2023-02-10,Audio,Sony WH-1000XM4,1,28990,East,118,1018
2023-02-12,TV,Xiaomi Mi TV,2,32990,South,119,1019
2023-02-15,Laptops,Asus ZenBook,1,69990,Center,120,1020
2023-02-18,Smartphones,iPhone 13,3,79990,West,121,1021
2023-02-20,Accessories,Wireless Charger,4,1490,North,122,1022
2023-02-23,Audio,Bose Soundbar,1,29990,Center,123,1023
2023-02-26,Smartphones,Xiaomi Redmi Note 10,5,18990,East,124,1024
2023-02-28,TV,LG OLED 55",1,89990,South,125,1025
2023-03-03,Laptops,Dell XPS,1,112990,West,126,1026
2023-03-05,Accessories,Laptop Bag,3,2490,Center,127,1027
2023-03-08,Smartphones,Samsung Galaxy S21,4,54990,North,128,1028
2023-03-10,Audio,JBL Bluetooth Speaker,3,3490,East,129,1029
2023-03-13,TV,Samsung 4K 50",2,45990,South,130,1030
2023-03-15,Smartphones,iPhone 13,2,79990,Center,131,1031
2023-03-18,Laptops,HP Pavilion,2,62500,West,132,1032
2023-03-20,Accessories,USB-C Cable,12,590,North,133,1033
2023-03-23,Audio,Sony Headphones,4,4990,Center,134,1034
2023-03-26,Smartphones,Google Pixel 6,2,52990,East,135,1035
2023-03-29,TV,Xiaomi Mi TV,3,32990,South,136,1036
2023-04-01,Laptops,MacBook Air,1,99990,West,137,1037
2023-04-04,Accessories,Power Bank,5,1990,Center,138,1038
2023-04-07,Smartphones,Xiaomi Redmi Note 10,7,18990,North,139,1039
2023-04-10,Audio,Apple AirPods,3,12990,East,140,1040
2023-04-13,TV,LG OLED 55",2,89990,South,141,1041
2023-04-16,Laptops,Lenovo ThinkPad,1,78500,Center,142,1042
2023-04-19,Smartphones,Samsung Galaxy S21,5,54990,West,143,1043
2023-04-22,Accessories,Screen Protector,15,490,North,144,1044
2023-04-25,Audio,Sony WH-1000XM4,2,28990,East,145,1045
2023-04-28,TV,Samsung 4K 50",3,45990,South,146,1046
2023-05-01,Laptops,Asus ZenBook,2,69990,Center,147,1047
2023-05-04,Smartphones,iPhone 13,4,79990,West,148,1048
2023-05-07,Accessories,Wireless Charger,6,1490,North,149,1049
2023-05-10,Audio,Bose Soundbar,2,29990,East,150,1050
2023-05-13,Smartphones,Google Pixel 6,3,52990,South,151,1051
2023-05-16,TV,Xiaomi Mi TV,4,32990,Center,152,1052
2023-05-19,Laptops,Dell XPS,1,112990,West,153,1053
2023-05-22,Accessories,Laptop Bag,4,2490,North,154,1054
2023-05-25,Smartphones,Xiaomi Redmi Note 10,8,18990,East,155,1055
2023-05-28,Audio,JBL Bluetooth Speaker,5,3490,South,156,1056
2023-05-31,TV,LG OLED 55",2,89990,Center,157,1057
2023-06-03,Laptops,HP Pavilion,3,62500,West,158,1058
2023-06-06,Accessories,iPhone Case,8,1200,North,159,1059
2023-06-09,Smartphones,Samsung Galaxy S21,6,54990,East,160,1060
2023-06-12,Audio,Sony Headphones,6,4990,South,161,1061
2023-06-15,TV,Samsung 4K 50",3,45990,Center,162,1062
2023-06-18,Laptops,MacBook Air,2,99990,West,163,1063
2023-06-21,Accessories,USB-C Cable,18,590,North,164,1064
2023-06-24,Smartphones,iPhone 13,5,79990,East,165,1065
2023-06-27,Audio,Apple AirPods,4,12990,South,166,1066
2023-06-30,TV,Xiaomi Mi TV,5,32990,Center,167,1067
2023-07-03,Laptops,Lenovo ThinkPad,2,78500,West,168,1068
2023-07-06,Accessories,Power Bank,7,1990,North,169,1069
2023-07-09,Smartphones,Google Pixel 6,4,52990,East,170,1070
2023-07-12,Audio,Sony WH-1000XM4,3,28990,South,171,1071
2023-07-15,TV,LG OLED 55",3,89990,Center,172,1072
2023-07-18,Laptops,Asus ZenBook,2,69990,West,173,1073
2023-07-21,Smartphones,Xiaomi Redmi Note 10,9,18990,North,174,1074
2023-07-24,Accessories,Screen Protector,20,490,East,175,1075
2023-07-27,Audio,Bose Soundbar,2,29990,South,176,1076
2023-07-30,TV,Samsung 4K 50",4,45990,Center,177,1077
2023-08-02,Laptops,Dell XPS,2,112990,West,178,1078
2023-08-05,Accessories,Wireless Charger,8,1490,North,179,1079
2023-08-08,Smartphones,Samsung Galaxy S21,7,54990,East,180,1080
2023-08-11,Audio,JBL Bluetooth Speaker,6,3490,South,181,1081
2023-08-14,TV,Xiaomi Mi TV,5,32990,Center,182,1082
2023-08-17,Laptops,HP Pavilion,3,62500,West,183,1083
2023-08-20,Accessories,Laptop Bag,5,2490,North,184,1084
2023-08-23,Smartphones,iPhone 13,6,79990,East,185,1085
2023-08-26,Audio,Sony Headphones,7,4990,South,186,1086
2023-08-29,TV,LG OLED 55",3,89990,Center,187,1087
2023-09-01,Laptops,MacBook Air,2,99990,West,188,1088
2023-09-04,Accessories,USB-C Cable,15,590,North,189,1089
2023-09-07,Smartphones,Google Pixel 6,5,52990,East,190,1090
2023-09-10,Audio,Apple AirPods,6,12990,South,191,1091
2023-09-13,TV,Samsung 4K 50",3,45990,Center,192,1092
2023-09-16,Laptops,Lenovo ThinkPad,2,78500,West,193,1093
2023-09-19,Accessories,Power Bank,6,1990,North,194,1094
2023-09-22,Smartphones,Xiaomi Redmi Note 10,8,18990,East,195,1095
2023-09-25,Audio,Sony WH-1000XM4,4,28990,South,196,1096
2023-09-28,TV,Xiaomi Mi TV,4,32990,Center,197,1097
