Date,Product,Size,Location,Quantity,Price_per_unit,Total_Sale
2024-04-12,Mocha,Medium,Airport,2,3.86,7.72
2024-02-21,Mocha,Large,University,1,3.0,3.0
2024-04-02,Americano,Large,Downtown,3,4.2,12.600000000000001
2024-01-15,Espresso,Small,Mall,3,3.21,9.629999999999999
2024-04-16,Espresso,Large,Mall,4,2.21,8.84
2024-03-12,Latte,Small,University,2,4.35,8.7
2024-03-01,Americano,Medium,Mall,4,2.86,11.44
2024-01-21,Latte,Small,Mall,2,3.3,6.6
2024-04-12,Latte,Large,University,1,4.06,4.06
2024-03-23,Latte,Medium,Airport,2,3.0,6.0
2024-03-27,Cappuccino,Small,Airport,3,2.17,6.51
2024-03-15,Cappuccino,Small,Mall,3,3.12,9.36
2024-03-15,Latte,Medium,Airport,2,4.83,9.66
2024-03-28,Americano,Medium,Airport,2,3.93,7.86
2024-04-26,Espresso,Small,Mall,2,4.01,8.02
2024-04-09,Americano,Large,Airport,4,3.9,15.6
2024-04-13,Mocha,Small,Mall,2,2.6,5.2
2024-01-24,Cappuccino,Medium,Downtown,1,3.26,3.26
2024-01-03,Espresso,Small,University,4,4.25,17.0
2024-01-22,Espresso,Medium,University,4,2.3,9.2
2024-02-22,Mocha,Medium,Airport,2,2.83,5.66
2024-01-02,Mocha,Large,Airport,1,2.83,2.83
2024-03-28,Latte,Medium,Airport,4,3.3,13.2
2024-04-17,Cappuccino,Medium,University,3,4.94,14.82
2024-01-30,Cappuccino,Large,Downtown,4,2.2,8.8
2024-02-07,Americano,Medium,Downtown,2,3.56,7.12
2024-01-02,Latte,Large,University,1,2.54,2.54
2024-03-04,Latte,Large,Downtown,2,4.91,9.82
2024-02-29,Latte,Medium,University,3,2.34,7.02
2024-01-21,Latte,Medium,Downtown,3,3.21,9.629999999999999
2024-02-02,Cappuccino,Small,Mall,3,4.21,12.629999999999999
2024-03-16,Cappuccino,Large,Mall,2,4.11,8.22
2024-02-27,Latte,Small,University,4,3.27,13.08
2024-01-22,Americano,Medium,Downtown,2,3.04,6.08
2024-04-17,Espresso,Small,Airport,1,3.19,3.19
2024-03-29,Espresso,Large,Downtown,4,2.79,11.16
2024-02-18,Americano,Small,Mall,3,2.62,7.86
2024-03-31,Latte,Large,Mall,2,3.45,6.9
2024-02-28,Cappuccino,Medium,Downtown,3,2.81,8.43
2024-02-11,Espresso,Medium,Downtown,3,2.86,8.58
2024-04-01,Mocha,Large,Airport,1,3.97,3.97
2024-02-29,Mocha,Medium,Airport,4,4.91,19.64
2024-03-20,Americano,Medium,Downtown,1,3.81,3.81
2024-01-15,Latte,Medium,Downtown,1,2.23,2.23
2024-03-02,Espresso,Medium,Downtown,1,2.23,2.23
2024-03-02,Latte,Large,Downtown,3,4.85,14.549999999999999
2024-02-16,Espresso,Small,University,1,2.89,2.89
2024-03-02,Americano,Small,Downtown,1,2.28,2.28
2024-02-20,Americano,Medium,Airport,4,3.8,15.2
2024-04-17,Mocha,Small,Mall,4,3.87,15.48
